REF_DATE;GEO;Type_of_dairy_product;Type_of_disappearance_of_dairy_products;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;DECIMALS
1920;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1920;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1920;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1920;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1920;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1920;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1920;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1920;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
1920;Canada;Concentrated whole milk products;Total domestic disappearance;Kilolitres;195;units ;0;v72558;01.05.2001;0
1920;Canada;Concentrated whole milk products;Per capita domestic disappearance;Litres;203;units ;0;v72564;01.05.2002;2
1920;Canada;Ice cream;Total domestic disappearance;Kilolitres;195;units ;0;v72559;01.06.2001;0
1920;Canada;Ice cream;Per capita domestic disappearance;Litres;203;units ;0;v72565;01.06.2002;2
1921;Canada;Total dairy products;Total domestic disappearance;Kilolitres;195;units ;0;v72554;01.01.2001;0
1921;Canada;Total dairy products;Per capita domestic disappearance;Litres;203;units ;0;v72560;01.01.2002;2
1921;Canada;Fluid products;Total domestic disappearance;Kilolitres;195;units ;0;v72555;01.02.2001;0
1921;Canada;Fluid products;Per capita domestic disappearance;Litres;203;units ;0;v72561;01.02.2002;2
1921;Canada;Butter;Total domestic disappearance;Kilolitres;195;units ;0;v72556;01.03.2001;0
1921;Canada;Butter;Per capita domestic disappearance;Litres;203;units ;0;v72562;01.03.2002;2
1921;Canada;Cheese;Total domestic disappearance;Kilolitres;195;units ;0;v72557;01.04.2001;0
1921;Canada;Cheese;Per capita domestic disappearance;Litres;203;units ;0;v72563;01.04.2002;2
